ISP Type,Licence No,Name of Licensee,Issue Date
SBO-3,063,BT (Hong Kong) Limited,20/05/2010
SBO-3,074,KDDI Hong Kong Limited,18/05/2010
SBO-3,094,Hong Kong Broadband Network Limited,07/12/2009
SBO-3,095,Telstra International Limited,28/12/2013
SBO-3,110,HKNet Company limited,11/10/2010
SBO-3,116,Global Link Information Services Limited,30/12/2009
SBO-3,133,Vision Network Limited,12/04/2010
SBO-3,148,Tiglion Consultancy Company Limited,23/06/2010
SBO-3,151,Asia Pacific CompuNet Limited,29/07/2010
SBO-3,163,Pacnet Internet (HK) Limited,23/08/2010
SBO-3,165,Internet Solutions Limited,25/08/2010
SBO-3,168,Byron Richfield Limited,06/09/2010
SBO-3,179,JOS Synergy (HK) Limited,04/10/2010
SBO-3,180,The Chinese University of Hong Kong,04/10/2010
SBO-3,186,Galaxy Link Limited,03/11/2009
SBO-3,193,Sing Tao Limited,25/11/2009
SBO-3,214,HongKongMovie.com Company Limited,11/03/2010
SBO-3,226,Telecom Digital Data Limited,23/05/2010
SBO-3,229,Resources Link Network Limited,10/06/2010
SBO-3,230,CenturyLink Technology Hong Kong Limited,19/06/2014
SBO-3,231,Man Bond Communications Ltd.,24/06/2010
SBO-3,235,PowerNet Company Limited,28/06/2010
SBO-3,238,Hutchison MultiMedia Services Limited,25/07/2010
SBO-3,251,Kannet Limited,03/09/2010
SBO-3,261,Netsoft Limited,26/11/2009
SBO-3,264,Superhub Limited,17/12/2009
SBO-3,280,NTT Com Asia Limited,02/05/2010
SBO-3,305,Cyber Channel International Limited,08/07/2010
SBO-3,309,Infocan Computer (Hong Kong) Limited,18/07/2010
SBO-3,312,A.J. Frontier Company Limited,05/08/2010
SBO-3,329,New Sky Internet Limited,14/10/2010
SBO-3,343,Exa Company Limited,13/01/2010
SBO-3,379,Cityline (Hong Kong) Limited,22/07/2010
SBO-3,418,SmarTone Mobile Communications Limited,26/11/2009
SBO-3,436,CITIC Telecom International CPC Limited,23/12/2009
SBO-3,438,T-Systems China Limited,23/12/2009
SBO-3,450,Singapore Telecom Hong Kong Limited,06/01/2014
SBO-3,457,iBasis (Hong Kong) Limited,18/01/2010
SBO-3,460,IXTech Limited,18/01/2010
SBO-3,510,One.Tel Limited,14/04/2010
SBO-3,527,Newsbook Limited,12/05/2010
SBO-3,532,ComNet Telecom International Limited,19/05/2010
SBO-3,546,TTG Global Limited,28/06/2010
SBO-3,591,Web Host Limited,14/10/2010
SBO-3,598,Diyixian.com Limited,01/11/2009
SBO-3,599,Dotcom Limited,01/11/2009
SBO-3,602,Micro 2000 Limited,03/11/2009
SBO-3,603,iAdvantage Limited,06/11/2009
SBO-3,606,Sunevision Super e-Technology Services Ltd.,16/11/2009
SBO-3,607,Cyber On-air (Asia) Limited,17/11/2009
SBO-3,609,Teltec Electronic Systems Limited,30/11/2009
SBO-3,624,AT&T Global Network Services Hong Kong Limited,07/01/2010
SBO-3,625,Fame Union Limited,12/01/2010
SBO-3,636,ET Net Limited,14/02/2010
SBO-3,648,China Mobile Hong Kong Company Limited,29/03/2010
SBO-3,657,Hong Kong Telecommunications (HKT) Limited,26/04/2010
SBO-3,675,SpeedCast Limited,30/05/2010
SBO-3,682,China Tietong HongKong Telecom Company Limited,08/06/2010
SBO-3,685,Henderson Data Centre Limited,09/06/2010
SBO-3,688,Reach Cable Networks Limited,19/06/2010
SBO-3,712,CITIC Telecom International (Data) Limited,09/08/2010
SBO-3,719,Pacific One Net Limited,15/08/2010
SBO-3,723,Towngas Telecomm. Fixed Network Limited,23/08/2010
SBO-3,742,Hong Kong Trade Development Council,28/09/2010
SBO-3,744,Winstar Pacific Limited,28/09/2010
SBO-3,756,Equinix Hong Kong Limited,17/10/2010
SBO-3,770,CTM (HK) Limited,20/11/2009
SBO-3,777,The Hongkong & Shanghai Banking Corp Ltd,02/12/2009
SBO-3,786,eNominee.com Limited,22/12/2009
SBO-3,789,Pacnet Services Asia Pacific (HK) Limited,09/01/2010
SBO-3,800,GlobeCast Hong Kong Limited,27/01/2010
SBO-3,824,OWT Asia Limited,27/03/2014
SBO-3,839,PCCW Powerbase Data Center Svc (HK) Ltd.,24/04/2010
SBO-3,841,hkcolo Limited,04/05/2010
SBO-3,851,Sprint Hong Kong Limited,01/06/2010
SBO-3,855,Outblaze Limited,12/06/2010
SBO-3,894,China Enterprise Netcom Corporation Limited,11/10/2010
SBO-3,901,PCCW Global Limited,15/11/2009
SBO-3,904,PowerCom Network Hong Kong Limited,28/11/2009
SBO-3,910,IPGO.net Limited,28/08/2014
SBO-3,914,M3COM (Hong Kong) Limited,18/12/2009
SBO-3,919,PCCW Solutions Limited,19/12/2009
SBO-3,920,Jardine OneSolution (HK) Limited,20/12/2009
